target,m,m_total,delta_median,delta_max,J_star_proxy,mdelta_med_ratio,mdelta_max_ratio,coverage,obs_fraction
gcd_and_lcm_word_problems,42,51,0.08056354296990609,0.43509677632858035,58.00708388792038,0.058331992886832294,0.3150316027109551,0.7619047619047619,0.8235294117647058
gcd_of_life,41,50,0.06939134890861143,0.43509677632858035,55.61502749957363,0.05115605319578202,0.3207580510431026,0.7560975609756098,0.82
geometric_construction,71,82,0.07657797217665996,0.43509677632858035,122.20559712671886,0.04449089200803972,0.2527860576410133,0.8028169014084507,0.8658536585365854
geometry_1,1,1,,,1.0,,,0.0,1.0
geometry_about_circle_concept,2,2,0.26326530612244897,0.26326530612244897,19.241732979664015,0.027363991216454966,0.027363991216454966,0.5,1.0
geometry_categorial_proposition,84,95,0.08890183066286894,0.43509677632858035,131.467194766565,0.05680317275302664,0.27800189451441576,0.8214285714285714,0.8842105263157894
geometry_proofs_intro,110,125,0.09146305758330944,0.5536213195787664,193.54617840817446,0.05198209758989027,0.31464504055065473,0.8181818181818182,0.88
graphing_parabolas_2,133,151,0.11164930129082029,0.5144860533210048,249.62372940419158,0.0594869610638457,0.27411915227376876,0.8120300751879699,0.8807947019867549
graphing_points_fraction_2,106,122,0.09863432067416428,0.4403701299978366,174.57202177414996,0.05989068514648772,0.2673924109108461,0.8301886792452831,0.8688524590163934
graphing_scaling,110,125,0.09021257781663228,0.5536213195787664,187.98900854010867,0.05278704131104736,0.3239463074282412,0.8272727272727273,0.88
graphing_systems_of_inequalities_2,124,140,0.10220784459752996,0.46912843819533206,252.74270239876657,0.05014496011084657,0.23016263490148178,0.7983870967741935,0.8857142857142857
herons_formula,87,98,0.08890183066286894,0.43509677632858035,178.0201417917927,0.04344710205160718,0.2126355993180748,0.8160919540229885,0.8877551020408163
inequality_properties,111,127,0.10379975507149064,0.4403701299978366,184.33628650941193,0.06250409526584001,0.26517342491470913,0.8288288288288288,0.8740157480314961
inequality_symbol_word_problems,112,128,0.10379975507149064,0.4403701299978366,188.7583295201646,0.0615897194977296,0.26129418863334875,0.8214285714285714,0.875
inheritance_bctest_cap,0,1,,,0.0,,,0.0,0.0
integer_arithmetic,65,76,0.07657797217665996,0.43509677632858035,99.37918702677817,0.050086626188053526,0.2845796117625434,0.7846153846153846,0.8552631578947368
interpreting_negative_numbers,40,50,0.06939134890861143,0.43509677632858035,58.345982575020805,0.047572323471895314,0.2982873933225043,0.675,0.8
inverses_of_functions,113,129,0.10623636751807786,0.4403701299978366,196.04705530905494,0.0612338171089496,0.2538259226149017,0.831858407079646,0.875968992248062
kg_g_time_div,40,51,0.0729846605426357,0.43509677632858035,59.06307649461589,0.04942828235456978,0.29466584008250446,0.7,0.7843137254901961
kinematic_equations,129,148,0.12323477493380408,0.4633152173913043,224.926143191812,0.07067780446003502,0.2657212816409239,0.8294573643410853,0.8716216216216216
km_m_unit_transform,38,49,0.061821106572102935,0.43509677632858035,57.05031605835598,0.041177721913704134,0.28980869244569973,0.6578947368421053,0.7755102040816326
l_ml_arithmatic,37,48,0.06939134890861143,0.43509677632858035,53.95968149662488,0.047581450416441316,0.29834462097713493,0.6756756756756757,0.7708333333333334
lcm_word_problems,36,44,0.08056354296990609,0.43509677632858035,48.626845433430454,0.05964375276794537,0.3221159795214766,0.7222222222222222,0.8181818181818182
least_common_multiple_and_greatest_common_divisor_word_problems,36,45,0.08056354296990609,0.43509677632858035,48.46600934795619,0.05984168257168308,0.32318493225581446,0.7222222222222222,0.8
lhopitals_rule,190,212,0.1376111091864206,0.7878919860627177,397.54918574267674,0.0657682412217129,0.37655586458379253,0.8631578947368421,0.8962264150943396
life_1,1,1,,,5.0,,,0.0,1.0
linear_equations_word_problems_2,108,124,0.10173793840541823,0.4403701299978366,184.59525858202912,0.059523182947315706,0.25764461343752226,0.8425925925925926,0.8709677419354839
lines_plane_vertical_parallel,71,82,0.07885608919348763,0.43509677632858035,110.09686425000653,0.050853240652013305,0.2805881105676211,0.8028169014084507,0.8658536585365854
logarithms_2,62,73,0.07518912779190257,0.43509677632858035,95.36036895244578,0.048885359550387905,0.2828848129333932,0.7903225806451613,0.8493150684931506
make_a_line_by_ruler_and_compasses,73,88,0.07885608919348763,0.43509677632858035,112.87135573515829,0.051000490546349544,0.28140057736626267,0.8082191780821918,0.8295454545454546
markup_and_commission_word_problems,90,107,0.10114612830117331,0.4403701299978366,144.452152402579,0.06301845556261212,0.2743698244755105,0.8444444444444444,0.8411214953271028
matrix_app_fruit_oil,127,144,0.10586157173756305,0.46912843819533206,226.4988810337296,0.05935755421532701,0.26304461805237256,0.7952755905511811,0.8819444444444444
matrix_basic_distance,109,125,0.09671432315140016,0.4403701299978366,179.42692557294998,0.05875295020432478,0.26752029561053026,0.8165137614678899,0.872
matrix_gaussian_elimination,112,128,0.09671432315140016,0.4403701299978366,190.70291151734847,0.056800413306597144,0.2586297931548406,0.7946428571428571,0.875
matrix_mul_two,126,143,0.10586157173756305,0.46912843819533206,225.04433557918415,0.059270801038400885,0.2626601689861832,0.8015873015873016,0.8811188811188811
matrix_mul_two_2,1,1,,,5.333333333333333,,,0.0,1.0
matrix_mul_zero_one,127,143,0.10623636751807786,0.46912843819533206,225.9821750628037,0.05970390660699793,0.2636460669265141,0.8031496062992126,0.8881118881118881
matrix_submatrix,127,143,0.10623636751807786,0.46912843819533206,227.42613110675975,0.05932483927479021,0.2619721461244007,0.8031496062992126,0.8881118881118881
matrix_triangular_and_symmetric,111,127,0.09671432315140016,0.4403701299978366,182.09811905490898,0.05895332651167227,0.26843267071320215,0.8018018018018018,0.8740157480314961
measuring_and_comparing_angles,71,82,0.08746059270924578,0.43509677632858035,107.51541517075303,0.057756388444339564,0.28732504143957016,0.8028169014084507,0.8658536585365854
meters_and_centimeters,36,47,0.05683256264574904,0.43509677632858035,52.61859005936676,0.03888306875837235,0.29767965903602916,0.6666666666666666,0.7659574468085106
meters_and_centimeters_conversion,0,1,,,0.0,,,0.0,0.0
metric_weight_unit_selection,37,48,0.061821106572102935,0.43509677632858035,54.97113424493247,0.041610582982989315,0.292855167448933,0.6756756756756757,0.7708333333333334
metric_weight_unit_word_problem,37,48,0.06939134890861143,0.43509677632858035,56.48330526222757,0.04545555359586206,0.28501484906767977,0.6756756756756757,0.7708333333333334
midpoint_formula,4,5,0.21912055335968383,0.29893398874361915,9.13075709708563,0.09599228236161188,0.13095693404834235,0.75,0.8
midpoint_of_a_segment,72,87,0.0777170306850738,0.43509677632858035,111.36370016080222,0.05024641064588891,0.2813032240346145,0.8055555555555556,0.8275862068965517
morning_afternoon_night,7,7,0.09296516338104244,0.15484009743694982,8.49993060054991,0.07656017140012836,0.12751641548561896,0.7142857142857143,1.0
moving_points,107,123,0.10114612830117331,0.4403701299978366,177.54844561416013,0.06095595875699629,0.26539012350559577,0.8411214953271028,0.8699186991869918
multiple_brackets,71,82,0.07657797217665996,0.43509677632858035,133.20876714100402,0.040815902295587285,0.23190569046127102,0.8028169014084507,0.8658536585365854
multiple_proportions_reasoning,4,4,0.19191919191919193,0.19191919191919193,9.003249893099674,0.08526662891642442,0.08526662891642442,0.25,1.0
multiple_unit_transate,38,49,0.06560622774035718,0.43509677632858035,57.643339314169936,0.043249344742953374,0.28682719802844125,0.6842105263157895,0.7755102040816326
multiplication_and_division_order,34,42,0.06248980285851313,0.43509677632858035,43.16080318525418,0.049226454106288065,0.34274826470851766,0.6764705882352942,0.8095238095238095
multiplication_association_word_problems,58,69,0.06939134890861143,0.43509677632858035,81.68226216412539,0.04927260986739785,0.3089485080169715,0.7758620689655172,0.8405797101449275
multiplication_formula_minus,122,138,0.1019728915014741,0.4633152173913043,210.12236584925407,0.059206894577348505,0.269007329578094,0.819672131147541,0.8840579710144928
multiplication_formula_sub,124,140,0.10403470816754651,0.4633152173913043,214.52581379626702,0.060134039743240664,0.26780500649251676,0.8225806451612904,0.8857142857142857
multiplication_word_problems,30,39,0.06560622774035718,0.43509677632858035,36.834965553318376,0.05343256882816349,0.35436176181469253,0.6666666666666666,0.7692307692307693
