method,display_name,target_node,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,validity_rate,pipeline_yield,mean_evaluation_cost,median_evaluation_cost,optimal_cost,mean_normalized_regret,median_normalized_regret,std_normalized_regret,p05_normalized_regret,p95_normalized_regret,min_normalized_regret,max_normalized_regret
random_frontier,Random Frontier,46,100,100,100,0,0,1.0,1.0,1.0,1195.065713095932,1194.9513235411628,1194.9513235411628,9.572737609950594e-05,0.0,0.00011021465741474013,0.0,0.00022262180488257194,0.0,0.00022262180488257194
random_frontier,Random Frontier,52,100,100,100,0,0,1.0,1.0,1.0,2348.5428438989325,2348.495110084892,2347.887157111571,0.00027926673791594565,0.0002589361977979303,0.00011384715204067251,4.7620354868062387e-05,0.00042552309112038606,0.0,0.00042552309112038606
linear_syllabus,Linear Syllabus,6,1,1,1,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_syllabus,Linear Syllabus,7,1,1,1,0,0,1.0,1.0,1.0,1323.3251559204896,1323.3251559204896,1322.4514196191788,0.0006606944409061426,0.0006606944409061426,0.0,0.0006606944409061426,0.0006606944409061426,0.0006606944409061426,0.0006606944409061426
linear_syllabus,Linear Syllabus,12,1,1,1,0,0,1.0,1.0,1.0,1790.4189154898395,1790.4189154898395,1789.5451791885284,0.0004882448967883852,0.0004882448967883852,0.0,0.0004882448967883852,0.0004882448967883852,0.0004882448967883852,0.0004882448967883852
linear_syllabus,Linear Syllabus,18,1,1,1,0,0,1.0,1.0,1.0,2500.3751351012647,2500.3751351012647,2499.402241030157,0.00038925069968207324,0.00038925069968207324,0.0,0.00038925069968207324,0.00038925069968207324,0.00038925069968207324,0.00038925069968207324
linear_syllabus,Linear Syllabus,29,1,1,1,0,0,1.0,1.0,1.0,536.5474715636964,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_syllabus,Linear Syllabus,36,1,1,1,0,0,1.0,1.0,1.0,2711.72189340713,2711.72189340713,2710.7489993360227,0.00035890230757099924,0.00035890230757099924,0.0,0.00035890230757099924,0.00035890230757099924,0.00035890230757099924,0.00035890230757099924
linear_syllabus,Linear Syllabus,39,1,1,1,0,0,1.0,1.0,1.0,2413.6108603791945,2413.6108603791945,2412.3449305605654,0.0005247714796469335,0.0005247714796469335,0.0,0.0005247714796469335,0.0005247714796469335,0.0005247714796469335,0.0005247714796469335
linear_syllabus,Linear Syllabus,42,1,1,1,0,0,1.0,1.0,1.0,2374.7639557917455,2374.7639557917455,2373.8902194904344,0.00036806095502537874,0.00036806095502537874,0.0,0.00036806095502537874,0.00036806095502537874,0.00036806095502537874,0.00036806095502537874
linear_syllabus,Linear Syllabus,46,1,1,1,0,0,1.0,1.0,1.0,1195.2173457615563,1195.2173457615563,1194.9513235411628,0.00022262180488257194,0.00022262180488257194,0.0,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194
linear_syllabus,Linear Syllabus,52,1,1,1,0,0,1.0,1.0,1.0,2348.760893412882,2348.760893412882,2347.887157111571,0.0003721372633538093,0.0003721372633538093,0.0,0.0003721372633538093,0.0003721372633538093,0.0003721372633538093,0.0003721372633538093
gpt56_sol_zero,GPT-5.6 SOL Zero,6,20,20,20,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt56_sol_zero,GPT-5.6 SOL Zero,7,20,20,20,0,0,1.0,1.0,1.0,1322.769680369827,1322.5763872454152,1322.4514196191788,0.00024065969148410392,9.449695042287325e-05,0.00025679865308376364,0.0,0.0005975004785199514,0.0,0.0007554759183395182
gpt56_sol_zero,GPT-5.6 SOL Zero,12,20,20,20,0,0,1.0,1.0,1.0,1789.8839627714322,1789.670146814765,1789.5451791885284,0.00018931267388138122,6.98320599501746e-05,0.00018973061408705073,6.98320599501746e-05,0.0005582872186269475,6.98320599501746e-05,0.0005582872186269475
